run,seed,alert_occurred,real_time_hour,checkpoint_hour,latency_hours
0,7,True,8.17,12,3.83
1,8,True,8.17,12,3.83
2,9,True,8.17,12,3.83
3,10,True,8.17,12,3.83
4,11,True,8.08,12,3.92
5,12,True,8.17,12,3.83
6,13,True,8.08,12,3.92
7,14,True,8.17,12,3.83
8,15,True,8.08,12,3.92
9,16,True,8.17,12,3.83
10,17,True,8.25,12,3.75
11,18,True,8.08,12,3.92
12,19,True,8.08,12,3.92
13,20,True,8.17,12,3.83
14,21,True,8.17,12,3.83
15,22,True,8.17,12,3.83
16,23,True,8.17,12,3.83
17,24,True,8.08,12,3.92
18,25,True,8.17,12,3.83
19,26,True,8.08,12,3.92
20,27,True,8.08,12,3.92
21,28,True,8.17,12,3.83
22,29,True,8.08,12,3.92
23,30,True,8.08,12,3.92
24,31,True,8.17,12,3.83
25,32,True,8.17,12,3.83
26,33,True,8.17,12,3.83
27,34,True,8.17,12,3.83
28,35,True,8.17,12,3.83
29,36,True,8.17,12,3.83
