shipment_id,step,timestamp,hour,lat,lon,temperature_c,temp_threshold_c,temp_alert,interval_co2_kg,cumulative_co2_kg,distance_km,source_file,data_type,alert,temperature_difference_c,journey_progress_pct,risk_level,journey_stage,hour_bucket
A-104,0,2026-07-04 17:24:49,0.0,52.5202,13.40432,4.98,11.0,False,4.249,4.249,0.0,shipment_A-104.csv,simulated_prototype,0,-6.02,0.0,Normal,0-25%,0-3h
A-104,1,2026-07-04 17:29:49,0.083,52.51612,13.34357,5.16,11.0,False,3.823,8.072,4.55,shipment_A-104.csv,simulated_prototype,0,-5.84,0.6946564885496183,Normal,0-25%,0-3h
A-104,2,2026-07-04 17:34:49,0.167,52.51162,13.28033,5.08,11.0,False,3.784,11.856,9.1,shipment_A-104.csv,simulated_prototype,0,-5.92,1.3893129770992365,Normal,0-25%,0-3h
A-104,3,2026-07-04 17:39:49,0.25,52.50716,13.21923,5.28,11.0,False,4.123,15.979,13.65,shipment_A-104.csv,simulated_prototype,0,-5.72,2.083969465648855,Normal,0-25%,0-3h
A-104,4,2026-07-04 17:44:49,0.333,52.50305,13.15715,5.08,11.0,False,4.294,20.273,18.19,shipment_A-104.csv,simulated_prototype,0,-5.92,2.7770992366412215,Normal,0-25%,0-3h
A-104,5,2026-07-04 17:49:49,0.417,52.49961,13.09479,5.06,11.0,False,3.868,24.141,22.74,shipment_A-104.csv,simulated_prototype,0,-5.94,3.4717557251908393,Normal,0-25%,0-3h
A-104,6,2026-07-04 17:54:49,0.5,52.49584,13.03279,5.18,11.0,False,4.321,28.462,27.29,shipment_A-104.csv,simulated_prototype,0,-5.82,4.166412213740458,Normal,0-25%,0-3h
A-104,7,2026-07-04 17:59:49,0.583,52.4912,12.97148,5.17,11.0,False,4.244,32.706,31.84,shipment_A-104.csv,simulated_prototype,0,-5.83,4.861068702290076,Normal,0-25%,0-3h
A-104,8,2026-07-04 18:04:49,0.667,52.48696,12.90972,4.95,11.0,False,4.31,37.016,36.39,shipment_A-104.csv,simulated_prototype,0,-6.05,5.555725190839695,Normal,0-25%,0-3h
A-104,9,2026-07-04 18:09:49,0.75,52.48295,12.84757,5.33,11.0,False,4.144,41.16,40.94,shipment_A-104.csv,simulated_prototype,0,-5.67,6.250381679389312,Normal,0-25%,0-3h
A-104,10,2026-07-04 18:14:49,0.833,52.47893,12.78439,5.19,11.0,False,3.819,44.979,45.49,shipment_A-104.csv,simulated_prototype,0,-5.81,6.9450381679389315,Normal,0-25%,0-3h
