shipment_id,step,timestamp,hour,lat,lon,temperature_c,temp_threshold_c,temp_alert,interval_co2_kg,cumulative_co2_kg,distance_km
A-104,0,2026-07-04T17:24:49,0.0,52.5202,13.40432,4.98,11.0,False,4.249,4.249,0.0
A-104,1,2026-07-04T17:29:49,0.083,52.51612,13.34357,5.16,11.0,False,3.823,8.072,4.55
A-104,2,2026-07-04T17:34:49,0.167,52.51162,13.28033,5.08,11.0,False,3.784,11.856,9.1
A-104,3,2026-07-04T17:39:49,0.25,52.50716,13.21923,5.28,11.0,False,4.123,15.979,13.65
A-104,4,2026-07-04T17:44:49,0.333,52.50305,13.15715,5.08,11.0,False,4.294,20.273,18.19
A-104,5,2026-07-04T17:49:49,0.417,52.49961,13.09479,5.06,11.0,False,3.868,24.141,22.74
A-104,6,2026-07-04T17:54:49,0.5,52.49584,13.03279,5.18,11.0,False,4.321,28.462,27.29
A-104,7,2026-07-04T17:59:49,0.583,52.4912,12.97148,5.17,11.0,False,4.244,32.706,31.84
A-104,8,2026-07-04T18:04:49,0.667,52.48696,12.90972,4.95,11.0,False,4.31,37.016,36.39
A-104,9,2026-07-04T18:09:49,0.75,52.48295,12.84757,5.33,11.0,False,4.144,41.16,40.94
A-104,10,2026-07-04T18:14:49,0.833,52.47893,12.78439,5.19,11.0,False,3.819,44.979,45.49
A-104,11,2026-07-04T18:19:49,0.917,52.47412,12.72248,5.35,11.0,False,3.948,48.927,50.03
A-104,12,2026-07-04T18:24:49,1.0,52.47056,12.66086,5.11,11.0,False,3.941,52.868,54.58
A-104,13,2026-07-04T18:29:49,1.083,52.46686,12.59928,5.32,11.0,False,4.165,57.033,59.13
A-104,14,2026-07-04T18:34:49,1.167,52.46162,12.5374,5.33,11.0,False,4.414,61.447,63.68
A-104,15,2026-07-04T18:39:49,1.25,52.45816,12.47516,5.41,11.0,False,4.215,65.662,68.23
A-104,16,2026-07-04T18:44:49,1.333,52.45432,12.41348,5.27,11.0,False,3.973,69.635,72.78
A-104,17,2026-07-04T18:49:49,1.417,52.44935,12.35067,5.33,11.0,False,4.384,74.019,77.33
A-104,18,2026-07-04T18:54:49,1.5,52.44609,12.28882,5.18,11.0,False,4.365,78.384,81.88
A-104,19,2026-07-04T18:59:49,1.583,52.44135,12.22675,5.14,11.0,False,3.928,82.312,86.42
A-104,20,2026-07-04T19:04:49,1.667,52.43737,12.16476,4.95,11.0,False,4.028,86.34,90.97
A-104,21,2026-07-04T19:09:49,1.75,52.43274,12.10382,5.12,11.0,False,4.1,90.44,95.52
A-104,22,2026-07-04T19:14:49,1.833,52.42842,12.04045,5.57,11.0,False,4.285,94.725,100.07
A-104,23,2026-07-04T19:19:49,1.917,52.42476,11.97848,5.54,11.0,False,4.016,98.741,104.62
A-104,24,2026-07-04T19:24:49,2.0,52.42145,11.91716,5.77,11.0,False,3.774,102.515,109.17
A-104,25,2026-07-04T19:29:49,2.083,52.41692,11.85538,5.32,11.0,False,4.118,106.633,113.72
A-104,26,2026-07-04T19:34:49,2.167,52.41213,11.79333,5.57,11.0,False,4.063,110.696,118.26
A-104,27,2026-07-04T19:39:49,2.25,52.40898,11.73167,5.55,11.0,False,3.939,114.635,122.81
A-104,28,2026-07-04T19:44:49,2.333,52.40419,11.66867,5.77,11.0,False,3.962,118.597,127.36
A-104,29,2026-07-04T19:49:49,2.417,52.40025,11.6073,5.23,11.0,False,3.866,122.463,131.91
A-104,30,2026-07-04T19:54:49,2.5,52.3963,11.5452,5.5,11.0,False,3.767,126.23,136.46
A-104,31,2026-07-04T19:59:49,2.583,52.39153,11.48246,5.22,11.0,False,4.375,130.605,141.01
A-104,32,2026-07-04T20:04:49,2.667,52.38819,11.42163,5.45,11.0,False,4.341,134.946,145.56
A-104,33,2026-07-04T20:09:49,2.75,52.38415,11.35856,5.55,11.0,False,4.085,139.031,150.1
A-104,34,2026-07-04T20:14:49,2.833,52.37875,11.29754,5.5,11.0,False,4.078,143.109,154.65
A-104,35,2026-07-04T20:19:49,2.917,52.37531,11.23483,5.4,11.0,False,4.338,147.447,159.2
A-104,36,2026-07-04T20:24:49,3.0,52.37099,11.17276,5.2,11.0,False,3.898,151.345,163.75
A-104,37,2026-07-04T20:29:49,3.083,52.36669,11.11189,5.44,11.0,False,4.192,155.537,168.3
A-104,38,2026-07-04T20:34:49,3.167,52.36274,11.04921,5.63,11.0,False,3.988,159.525,172.85
A-104,39,2026-07-04T20:39:49,3.25,52.35882,10.9868,5.63,11.0,False,3.91,163.435,177.4
A-104,40,2026-07-04T20:44:49,3.333,52.35394,10.92538,5.6,11.0,False,4.329,167.764,181.94
A-104,41,2026-07-04T20:49:49,3.417,52.3498,10.86282,5.98,11.0,False,4.204,171.968,186.49
A-104,42,2026-07-04T20:54:49,3.5,52.34587,10.80067,5.8,11.0,False,4.076,176.044,191.04
A-104,43,2026-07-04T20:59:49,3.583,52.34256,10.73965,5.46,11.0,False,3.891,179.935,195.59
A-104,44,2026-07-04T21:04:49,3.667,52.33743,10.67711,5.37,11.0,False,4.244,184.179,200.14
A-104,45,2026-07-04T21:09:49,3.75,52.33412,10.61592,5.68,11.0,False,3.831,188.01,204.69
A-104,46,2026-07-04T21:14:49,3.833,52.3296,10.55299,5.68,11.0,False,3.891,191.901,209.24
A-104,47,2026-07-04T21:19:49,3.917,52.32553,10.49112,5.47,11.0,False,3.949,195.85,213.78
A-104,48,2026-07-04T21:24:49,4.0,52.32111,10.42984,5.21,11.0,False,4.127,199.977,218.33
A-104,49,2026-07-04T21:29:49,4.083,52.31668,10.36796,5.73,11.0,False,4.314,204.291,222.88
A-104,50,2026-07-04T21:34:49,4.167,52.31387,10.30586,5.66,11.0,False,4.084,208.375,227.43
A-104,51,2026-07-04T21:39:49,4.25,52.30865,10.24311,5.5,11.0,False,3.805,212.18,231.98
A-104,52,2026-07-04T21:44:49,4.333,52.30475,10.18195,5.56,11.0,False,4.064,216.244,236.53
A-104,53,2026-07-04T21:49:49,4.417,52.30068,10.11992,5.95,11.0,False,4.418,220.662,241.08
A-104,54,2026-07-04T21:54:49,4.5,52.29673,10.05758,5.69,11.0,False,4.401,225.063,245.62
A-104,55,2026-07-04T21:59:49,4.583,52.29263,9.99533,5.74,11.0,False,4.256,229.319,250.17
A-104,56,2026-07-04T22:04:49,4.667,52.28774,9.93339,5.21,11.0,False,3.869,233.188,254.72
A-104,57,2026-07-04T22:09:49,4.75,52.28491,9.87067,5.59,11.0,False,3.888,237.076,259.27
A-104,58,2026-07-04T22:14:49,4.833,52.28024,9.80953,5.61,11.0,False,4.349,241.425,263.82
A-104,59,2026-07-04T22:19:49,4.917,52.2756,9.74742,5.7,11.0,False,4.172,245.597,268.37
A-104,60,2026-07-04T22:24:49,5.0,52.27172,9.68541,5.13,11.0,False,3.9,249.497,272.92
A-104,61,2026-07-04T22:29:49,5.083,52.26801,9.62292,5.53,11.0,False,4.025,253.522,277.47
A-104,62,2026-07-04T22:34:49,5.167,52.26381,9.56101,5.45,11.0,False,3.814,257.336,282.01
A-104,63,2026-07-04T22:39:49,5.25,52.25936,9.50002,5.89,11.0,False,4.419,261.755,286.56
A-104,64,2026-07-04T22:44:49,5.333,52.25467,9.4369,5.54,11.0,False,4.343,266.098,291.11
