shipment_id,step,timestamp,hour,lat,lon,temperature_c,temp_threshold_c,temp_alert,interval_co2_kg,cumulative_co2_kg,distance_km
A-1042,0,2026-07-28T14:49:41,0.0,52.51994,13.40554,5.16,8.5,False,3.356,3.356,0.0
A-1042,1,2026-07-28T14:54:41,0.083,52.5161,13.34247,5.05,8.5,False,3.049,6.405,3.47
A-1042,2,2026-07-28T14:59:41,0.167,52.51228,13.28092,5.45,8.5,False,2.94,9.345,6.94
A-1042,3,2026-07-28T15:04:41,0.25,52.5078,13.21919,5.13,8.5,False,3.105,12.45,10.42
A-1042,4,2026-07-28T15:09:41,0.333,52.50412,13.15655,4.99,8.5,False,3.358,15.808,13.89
A-1042,5,2026-07-28T15:14:41,0.417,52.49881,13.09504,5.02,8.5,False,3.291,19.099,17.36
A-1042,6,2026-07-28T15:19:41,0.5,52.49574,13.03245,5.38,8.5,False,3.033,22.132,20.83
A-1042,7,2026-07-28T15:24:41,0.583,52.49142,12.97064,4.85,8.5,False,2.952,25.084,24.31
A-1042,8,2026-07-28T15:29:41,0.667,52.48642,12.90876,5.24,8.5,False,3.37,28.454,27.78
A-1042,9,2026-07-28T15:34:41,0.75,52.48334,12.84663,4.95,8.5,False,3.092,31.546,31.25
A-1042,10,2026-07-28T15:39:41,0.833,52.47801,12.78517,4.96,8.5,False,2.919,34.465,34.72
A-1042,11,2026-07-28T15:44:41,0.917,52.47466,12.72249,5.02,8.5,False,3.296,37.761,38.19
A-1042,12,2026-07-28T15:49:41,1.0,52.47031,12.66048,5.68,8.5,False,3.041,40.802,41.67
A-1042,13,2026-07-28T15:54:41,1.083,52.46685,12.59875,5.15,8.5,False,3.142,43.944,45.14
A-1042,14,2026-07-28T15:59:41,1.167,52.4622,12.53749,5.28,8.5,False,2.949,46.893,48.61
A-1042,15,2026-07-28T16:04:41,1.25,52.45779,12.4755,5.27,8.5,False,3.237,50.13,52.08
A-1042,16,2026-07-28T16:09:41,1.333,52.45326,12.41342,5.28,8.5,False,3.115,53.245,55.56
A-1042,17,2026-07-28T16:14:41,1.417,52.45028,12.35167,5.31,8.5,False,3.095,56.34,59.03
A-1042,18,2026-07-28T16:19:41,1.5,52.44598,12.28865,5.56,8.5,False,3.211,59.551,62.5
A-1042,19,2026-07-28T16:24:41,1.583,52.44094,12.22686,5.73,8.5,False,3.261,62.812,65.97
A-1042,20,2026-07-28T16:29:41,1.667,52.43664,12.16465,5.37,8.5,False,3.085,65.897,69.44
A-1042,21,2026-07-28T16:34:41,1.75,52.43304,12.10307,5.2,8.5,False,3.03,68.927,72.92
A-1042,22,2026-07-28T16:39:41,1.833,52.42864,12.04154,5.38,8.5,False,2.896,71.823,76.39
A-1042,23,2026-07-28T16:44:41,1.917,52.42438,11.97962,4.88,8.5,False,3.031,74.854,79.86
A-1042,24,2026-07-28T16:49:41,2.0,52.42116,11.91683,5.14,8.5,False,3.088,77.942,83.33
A-1042,25,2026-07-28T16:54:41,2.083,52.41663,11.85445,5.58,8.5,False,3.302,81.244,86.81
A-1042,26,2026-07-28T16:59:41,2.167,52.41263,11.79277,5.12,8.5,False,3.341,84.585,90.28
A-1042,27,2026-07-28T17:04:41,2.25,52.40764,11.73175,5.46,8.5,False,3.169,87.754,93.75
A-1042,28,2026-07-28T17:09:41,2.333,52.40353,11.66894,5.41,8.5,False,3.169,90.923,97.22
A-1042,29,2026-07-28T17:14:41,2.417,52.40014,11.60725,5.34,8.5,False,2.888,93.811,100.69
A-1042,30,2026-07-28T17:19:41,2.5,52.39522,11.54582,5.52,8.5,False,3.16,96.971,104.17
A-1042,31,2026-07-28T17:24:41,2.583,52.39109,11.48349,5.57,8.5,False,3.257,100.228,107.64
A-1042,32,2026-07-28T17:29:41,2.667,52.38741,11.4213,5.17,8.5,False,2.963,103.191,111.11
A-1042,33,2026-07-28T17:34:41,2.75,52.38283,11.35858,5.51,8.5,False,3.342,106.533,114.58
A-1042,34,2026-07-28T17:39:41,2.833,52.38007,11.29683,5.47,8.5,False,3.174,109.707,118.06
